2000 3
0.797025 0.565220 0.241832 
0.395179 0.343594 0.100105 
0.327089 0.321475 0.304518 
0.923458 0.929199 0.290024 
0.843695 0.225940 0.151394 
0.699903 0.708842 0.487998 
0.625218 0.444447 0.684658 
0.986850 0.222018 0.813808 
0.969667 0.512632 0.100135 
0.120882 0.731240 0.406958 
0.444444 0.528265 0.972178 
0.686276 0.923444 0.315772 
0.786381 0.250534 0.637248 
0.090899 0.173992 0.566447 
0.380923 0.017687 0.792387 
0.532317 0.717590 0.501229 
0.020314 0.342808 0.945676 
0.704972 0.329659 0.167693 
0.518780 0.299325 0.680325 
0.618915 0.420207 0.411565 
0.025873 0.864651 0.939830 
0.998051 0.550927 0.863275 
0.313824 0.337308 0.113808 
0.951072 0.428207 0.287800 
0.517519 0.809130 0.305487 
0.309906 0.341446 0.023078 
0.811135 0.361761 0.365886 
0.756810 0.066733 0.695545 
0.924504 0.585512 0.994870 
0.604829 0.204427 0.415078 
0.016394 0.230300 0.279729 
0.956225 0.228352 0.830656 
0.819499 0.542175 0.167964 
0.933308 0.493247 0.596171 
0.221108 0.010766 0.405301 
0.526595 0.320672 0.746748 
0.549673 0.131806 0.108508 
0.915559 0.888617 0.175241 
0.611104 0.813121 0.760753 
0.605974 0.417950 0.965181 
0.021051 0.434344 0.195481 
0.300780 0.390569 0.423833 
0.131436 0.210068 0.966008 
0.299400 0.143376 0.459255 
0.895571 0.364484 0.470021 
0.300872 0.891079 0.790693 
0.047620 0.440752 0.922499 
0.156128 0.356311 0.811115 
0.331369 0.967414 0.624236 
0.092122 0.573388 0.042186 
0.057303 0.594439 0.476530 
0.252784 0.895219 0.867099 
0.676617 0.026655 0.077168 
0.642625 0.326055 0.220544 
0.101880 0.221626 0.585028 
0.571901 0.522499 0.476107 
0.362594 0.570118 0.916859 
0.285093 0.726246 0.273170 
0.096208 0.057616 0.240584 
0.720444 0.149738 0.813972 
0.762630 0.207041 0.408411 
0.239160 0.459825 0.303630 
0.106259 0.136442 0.330286 
0.183427 0.779067 0.656341 
0.403970 0.880947 0.877967 
0.988998 0.452848 0.400466 
0.465105 0.815442 0.970584 
0.381964 0.100535 0.696831 
0.655133 0.196743 0.754446 
0.895717 0.917187 0.904184 
0.709689 0.679817 0.111226 
0.118100 0.918977 0.571051 
0.421731 0.025236 0.707493 
0.752016 0.208663 0.486560 
0.408357 0.612634 0.367507 
0.286324 0.601632 0.820356 
0.686790 0.066737 0.635798 
0.657374 0.448700 0.736333 
0.354205 0.103833 0.933076 
0.108651 0.999550 0.850263 
0.012836 0.709239 0.530080 
0.124061 0.827340 0.449057 
0.695112 0.249070 0.474294 
0.402606 0.001086 0.682957 
0.889166 0.409443 0.295591 
0.256673 0.695768 0.897223 
0.077029 0.382558 0.963959 
0.712826 0.039932 0.412659 
0.449159 0.394137 0.516493 
0.382235 0.502788 0.516043 
0.232498 0.515624 0.225283 
0.762578 0.639686 0.052622 
0.211635 0.334798 0.301692 
0.685929 0.737404 0.302779 
0.368886 0.626569 0.712222 
0.664477 0.883242 0.407990 
0.561699 0.960271 0.790547 
0.525659 0.673097 0.830480 
0.938318 0.122257 0.224617 
0.454811 0.504492 0.727405 
0.970854 0.736990 0.243029 
0.196136 0.499568 0.882715 
0.248759 0.711203 0.217513 
0.550451 0.397132 0.954917 
0.853229 0.766018 0.581486 
0.565451 0.430495 0.464729 
0.973441 0.992194 0.425000 
0.763989 0.517853 0.098097 
0.594468 0.456171 0.220354 
0.819085 0.910982 0.724845 
0.546490 0.881836 0.461835 
0.789519 0.077972 0.961402 
0.672234 0.326731 0.672605 
0.889748 0.877182 0.069738 
0.844665 0.730411 0.835756 
0.426151 0.295862 0.266251 
0.890880 0.269303 0.258445 
0.315880 0.033292 0.776299 
0.413977 0.627760 0.232470 
0.634330 0.446845 0.143451 
0.359175 0.993334 0.025287 
0.821010 0.782854 0.103259 
0.782413 0.455088 0.429990 
0.455018 0.344835 0.307172 
0.524756 0.189500 0.037583 
0.360512 0.615651 0.333445 
0.626763 0.506531 0.602748 
0.885208 0.822410 0.636040 
0.661507 0.236387 0.263801 
0.893976 0.870717 0.710645 
0.037427 0.229893 0.703980 
0.062714 0.050903 0.486833 
0.165974 0.833315 0.941921 
0.595963 0.288333 0.286756 
0.903135 0.813089 0.476256 
0.940718 0.173600 0.091907 
0.274162 0.800363 0.598438 
0.876911 0.685571 0.420848 
0.512951 0.347078 0.657235 
0.776752 0.241054 0.527952 
0.487397 0.278481 0.757845 
0.191377 0.341195 0.808748 
0.678210 0.507169 0.642063 
0.620131 0.103132 0.930396 
0.906887 0.006267 0.743485 
0.383143 0.946985 0.917086 
0.475050 0.221147 0.717449 
0.073487 0.098058 0.403020 
0.494335 0.611010 0.750097 
0.151570 0.387762 0.991151 
0.679522 0.875159 0.269632 
0.437367 0.066535 0.610827 
0.246115 0.744745 0.117996 
0.888178 0.364876 0.221129 
0.818574 0.271763 0.227396 
0.562060 0.654906 0.174381 
0.479145 0.129956 0.395528 
0.196594 0.203443 0.493587 
0.599614 0.697778 0.104596 
0.349711 0.849349 0.492358 
0.340862 0.528871 0.367517 
0.610494 0.966238 0.434052 
0.221322 0.212353 0.178797 
0.339318 0.100531 0.543673 
0.560446 0.919106 0.815436 
