500 3
0.525179 0.349321 0.478726 
0.427409 0.680663 0.490904 
0.231206 0.812388 0.513705 
0.365419 0.469117 0.747549 
0.511659 0.367942 0.655643 
0.932973 0.134323 0.539248 
0.827807 0.409940 0.213409 
0.910346 0.394702 0.196478 
0.644233 0.576821 0.265772 
0.672803 0.409768 0.686131 
0.742360 0.513622 0.461274 
0.595945 0.510934 0.466332 
0.762776 0.523293 0.189487 
0.139961 0.505295 0.739921 
0.158620 0.499581 0.718840 
0.036519 0.951150 0.404189 
0.350220 0.311462 0.912366 
0.758979 0.107754 0.636370 
0.764001 0.273041 0.600080 
0.775829 0.337501 0.320090 
0.801632 0.221129 0.708490 
0.528380 0.567364 0.417873 
0.334855 0.908350 0.273698 
0.084281 0.504773 0.985494 
0.344684 0.706614 0.599992 
0.900255 0.157813 0.451905 
0.733496 0.100598 0.448512 
0.510873 0.241236 0.828062 
0.711931 0.338205 0.345596 
0.081754 0.831638 0.497809 
0.525731 0.874083 0.273192 
0.876168 0.292823 0.452678 
0.632064 0.645567 0.031754 
0.389664 0.760006 0.341726 
0.685400 0.766567 0.246202 
0.712038 0.931260 0.002935 
0.208076 0.703349 0.656894 
0.530158 0.541756 0.412733 
0.449320 0.477124 0.855680 
0.380096 0.724313 0.391882 
0.660915 0.275131 0.353913 
0.588971 0.935794 0.162707 
0.444521 0.831569 0.378270 
0.927698 0.042547 0.594263 
0.120952 0.730144 0.848681 
0.544951 0.692994 0.397030 
0.140249 0.530930 0.635628 
0.384771 0.302642 0.914305 
0.490706 0.512926 0.256610 
0.646957 0.555808 0.153906 
0.099965 0.712158 0.766564 
0.142510 0.622590 0.763929 
0.201613 0.697288 0.656797 
0.779628 0.155199 0.300395 
0.378314 0.398803 0.671468 
0.788068 0.346355 0.221856 
0.292343 0.582388 0.378907 
0.305603 0.517237 0.571009 
0.917968 0.395204 0.314105 
0.684273 0.320220 0.183010 
0.720594 0.684924 0.463258 
0.296884 0.822255 0.531272 
0.446237 0.565937 0.353817 
0.930219 0.644490 0.078476 
0.272795 0.419632 0.773100 
0.890010 0.542864 0.203058 
0.777672 0.428945 0.261958 
0.101589 0.304967 0.952073 
0.631980 0.507641 0.502755 
0.387431 0.386778 0.563817 
0.358870 0.439624 0.615327 
0.469685 0.527426 0.227501 
0.660454 0.218498 0.697950 
0.424344 0.450523 0.553323 
0.162706 0.740722 0.710217 
0.825153 0.192450 0.547567 
0.248428 0.741009 0.329571 
0.688179 0.106411 0.943698 
0.663879 0.612993 0.269822 
0.078421 0.495461 0.980038 
0.665762 0.635230 0.184618 
0.191929 0.609727 0.668461 
0.358753 0.748308 0.355605 
0.450710 0.439944 0.618231 
0.516748 0.265330 0.676926 
0.496184 0.989133 0.189029 
0.649370 0.361484 0.548917 
0.907598 0.614046 0.141257 
0.524631 0.677192 0.145235 
0.204027 0.988764 0.060003 
0.975829 0.255487 0.430817 
0.320651 0.818120 0.460563 
0.704743 0.445770 0.328103 
0.395683 0.571469 0.388181 
0.137119 0.383699 0.970417 
0.467357 0.510288 0.431910 
0.480238 0.104488 0.844056 
0.596689 0.282072 0.765574 
0.158317 0.928138 0.438093 
0.328242 0.589703 0.636391 
0.040116 0.951443 0.514954 
0.187355 0.805333 0.551171 
0.165370 0.327149 0.900046 
0.883658 0.279870 0.546775 
0.257603 0.598082 0.769991 
0.387864 0.321510 0.839585 
0.220829 0.351373 0.977701 
0.770003 0.665928 0.198616 
0.060088 0.531469 0.770530 
0.825018 0.166330 0.512234 
0.261463 0.720522 0.140611 
0.788204 0.334817 0.343460 
0.595969 0.559411 0.258310 
0.649781 0.086935 0.527653 
0.132868 0.527018 0.742137 
0.296501 0.370077 0.770875 
0.193612 0.487227 0.859122 
0.685901 0.165521 0.577628 
0.635535 0.011697 0.950741 
0.207363 0.924451 0.330267 
0.368777 0.592074 0.561416 
0.509366 0.616857 0.456874 
0.777647 0.405821 0.298987 
0.405539 0.492495 0.490466 
0.082374 0.676447 0.864097 
0.700263 0.535699 0.301816 
0.100125 0.646398 0.716717 
0.117736 0.508371 0.852610 
0.609551 0.564356 0.300223 
0.570788 0.459574 0.565493 
0.568372 0.269895 0.582068 
0.315276 0.893319 0.488605 
0.069778 0.513426 0.996519 
0.448112 0.305957 0.659679 
0.510768 0.573989 0.549106 
0.593326 0.212060 0.779766 
0.316800 0.711006 0.613985 
0.260529 0.534374 0.721855 
0.738220 0.561123 0.102737 
0.470411 0.969236 0.023756 
0.712279 0.272505 0.434811 
0.733393 0.337550 0.378968 
0.316851 0.309861 0.879700 
0.905691 0.227266 0.383383 
0.923494 0.352675 0.190359 
0.369534 0.213582 0.788613 
0.450730 0.313925 0.758976 
0.766365 0.700035 0.178370 
0.359160 0.438225 0.672754 
0.588846 0.978192 0.032651 
0.359790 0.404481 0.581411 
0.428749 0.023106 0.992729 
0.304506 0.970292 0.259445 
0.015753 0.904415 0.461086 
0.496000 0.717482 0.217099 
0.291298 0.221695 0.927756 
0.048632 0.803129 0.705918 
0.530208 0.736517 0.141427 
0.290987 0.712250 0.525837 
0.343124 0.841513 0.400390 
0.795420 0.449794 0.276955 
0.332421 0.318852 0.948672 
0.056214 0.572799 0.892377 
0.559531 0.587171 0.146726 
0.689273 0.095268 0.701219 
0.316267 0.305861 0.886051 
0.736888 0.886114 0.029752 
0.141848 0.721742 0.694024 
0.225922 0.785942 0.565730 
0.428009 0.430454 0.437935 
0.711843 0.248749 0.721814 
0.951615 0.363763 0.113935 
0.327918 0.742362 0.396547 
0.658482 0.800529 0.361375 
0.744023 0.207251 0.599662 
0.550514 0.108230 0.637549 
0.603666 0.199185 0.812190 
0.706612 0.712585 0.131966 
0.706399 0.112416 0.767979 
0.847027 0.580882 0.197308 
0.459251 0.382217 0.696465 
0.997693 0.330695 0.382331 
0.717997 0.462024 0.335320 
0.653014 0.613576 0.221623 
0.062018 0.653136 0.752018 
0.483857 0.362800 0.657688 
0.522100 0.563468 0.439376 
0.007800 0.407775 0.993117 
0.593615 0.924172 0.131177 
0.157518 0.462668 0.630166 
0.187212 0.723197 0.362148 
0.176864 0.858898 0.693764 
0.422369 0.274388 0.745967 
0.230639 0.570290 0.531885 
0.380135 0.445990 0.480604 
0.293605 0.754107 0.199708 
0.543769 0.559366 0.279799 
0.760061 0.650894 0.084080 
0.555659 0.495232 0.435234 
0.404596 0.571295 0.211876 
0.299562 0.955545 0.308117 
0.255717 0.374937 0.874881 
0.938120 0.090159 0.512962 
0.350152 0.813808 0.339326 
0.337688 0.776653 0.398947 
0.389382 0.761940 0.170821 
0.525466 0.181815 0.928068 
0.537789 0.368531 0.741601 
0.510651 0.766786 0.270510 
0.356335 0.424433 0.554776 
0.141509 0.841553 0.557065 
0.452841 0.364135 0.552464 
0.927517 0.250605 0.515392 
0.741716 0.262014 0.614207 
0.528518 0.518472 0.509952 
0.911012 0.441522 0.177638 
0.359191 0.344495 0.863252 
0.527682 0.792619 0.242434 
0.517002 0.458760 0.604926 
0.530701 0.604492 0.411617 
0.060605 0.839382 0.635329 
0.128451 0.670883 0.553064 
0.345797 0.879786 0.199058 
0.396404 0.578418 0.552115 
0.687268 0.406110 0.096419 
0.480561 0.376859 0.852579 
0.085974 0.536806 0.977260 
0.675650 0.774606 0.106120 
0.030073 0.742141 0.706897 
0.586716 0.064493 0.652127 
0.736670 0.355675 0.362217 
0.478442 0.494664 0.449801 
0.011984 0.571019 0.798120 
0.467333 0.401793 0.586946 
0.385105 0.391838 0.673768 
0.459651 0.097856 0.931212 
0.446485 0.105310 0.935590 
0.763992 0.534340 0.183946 
0.667760 0.108166 0.922183 
0.385193 0.778268 0.309600 
0.726485 0.346603 0.470314 
0.701205 0.187124 0.671942 
0.701412 0.007047 0.964952 
0.696924 0.016975 0.814740 
0.346406 0.625351 0.778899 
0.208485 0.330521 0.910593 
0.893818 0.077899 0.490582 
0.391059 0.231107 0.784991 
0.580140 0.907336 0.092043 
0.642241 0.291646 0.512448 
0.246094 0.826067 0.485436 
0.155431 0.487869 0.796166 
0.100836 0.648825 0.632269 
