1000 3
0.657483 0.514786 0.246083 
0.909075 0.694533 0.294087 
0.185519 0.046833 0.272055 
0.766239 0.059315 0.502914 
0.436587 0.641637 0.144357 
0.823951 0.835687 0.249820 
0.123176 0.703949 0.325333 
0.252809 0.082548 0.323230 
0.342613 0.427685 0.040719 
0.353337 0.338424 0.530113 
0.061114 0.995907 0.044900 
0.307197 0.904982 0.739432 
0.601284 0.090502 0.786265 
0.873339 0.856741 0.845580 
0.376253 0.293328 0.487217 
0.520610 0.117278 0.322904 
0.770430 0.240454 0.026854 
0.095763 0.493263 0.109402 
0.418993 0.835876 0.537087 
0.459712 0.189213 0.875511 
0.989826 0.250327 0.871417 
0.034725 0.557524 0.776400 
0.774158 0.158808 0.866901 
0.560423 0.032148 0.723642 
0.406003 0.408401 0.016970 
0.893220 0.929011 0.134249 
0.216124 0.699440 0.374703 
0.242978 0.795203 0.867966 
0.352380 0.214196 0.703843 
0.889467 0.673908 0.893055 
0.764978 0.663734 0.143382 
0.636395 0.698459 0.700906 
0.412795 0.472617 0.859714 
0.279696 0.033040 0.891862 
0.003338 0.439043 0.300263 
0.020309 0.332263 0.229273 
0.154557 0.548387 0.928714 
0.529260 0.791365 0.723916 
0.397227 0.143745 0.938112 
0.101069 0.033212 0.612020 
0.994124 0.798190 0.275755 
0.137507 0.434585 0.974214 
0.838413 0.847380 0.446831 
0.698128 0.127076 0.479871 
0.589990 0.130414 0.918914 
0.890253 0.150723 0.251177 
0.119526 0.305280 0.799564 
0.048240 0.834540 0.590929 
0.772156 0.231767 0.734674 
0.710268 0.332836 0.767886 
0.322289 0.326960 0.566076 
0.598043 0.464467 0.000661 
0.572257 0.302880 0.848041 
0.019089 0.001008 0.975117 
0.498960 0.590998 0.105531 
0.417874 0.481250 0.256254 
0.669051 0.600776 0.561534 
0.468614 0.649016 0.396074 
0.059543 0.421172 0.627841 
0.794218 0.131440 0.960677 
0.562104 0.453729 0.287637 
0.128181 0.051772 0.752104 
0.128842 0.624029 0.054985 
0.976883 0.643118 0.055993 
0.952001 0.142078 0.646990 
0.057532 0.559952 0.128241 
0.313786 0.229002 0.729017 
0.875321 0.697616 0.378033 
0.271395 0.757160 0.799205 
0.899236 0.551378 0.930645 
0.859913 0.113482 0.384374 
0.147551 0.241663 0.436146 
0.899655 0.370505 0.060176 
0.954640 0.347388 0.703294 
0.010632 0.299389 0.845371 
0.657622 0.356921 0.405323 
0.785863 0.670707 0.634325 
0.514880 0.546028 0.331941 
0.892913 0.817423 0.089101 
0.692118 0.716659 0.640479 
0.622764 0.576573 0.753961 
0.007138 0.724124 0.995624 
