2000 3
0.452528 0.869154 0.037148 
0.146011 0.927967 0.312408 
0.488023 0.588187 0.335118 
0.444966 0.401059 0.806281 
0.572087 0.362684 0.489479 
0.172517 0.732678 0.749519 
0.512184 0.248301 0.864581 
0.446471 0.560776 0.811292 
0.472017 0.213658 0.917240 
0.467711 0.687578 0.248864 
0.484995 0.625551 0.289698 
0.451689 0.331386 0.543405 
0.451108 0.840205 0.252218 
0.079192 0.780997 0.779219 
0.222268 0.683265 0.746928 
0.314430 0.689371 0.314652 
0.509330 0.152888 0.748527 
0.517399 0.408489 0.612120 
0.722954 0.299038 0.334076 
0.929519 0.139945 0.480393 
0.651624 0.455241 0.446120 
0.507638 0.446038 0.409934 
0.435544 0.855552 0.181650 
0.236744 0.658471 0.393229 
0.316170 0.960802 0.209281 
0.195452 0.685103 0.665783 
0.853508 0.561931 0.268394 
0.642841 0.553277 0.215114 
0.879665 0.586691 0.220556 
0.492721 0.449508 0.664333 
0.951860 0.422601 0.240365 
0.846777 0.411553 0.149975 
0.581324 0.182060 0.527238 
0.452888 0.394664 0.683016 
0.025043 0.587156 0.771528 
0.693470 0.417058 0.369043 
0.298499 0.843978 0.353014 
0.377596 0.390602 0.786478 
0.060020 0.776906 0.710938 
0.887018 0.198965 0.412524 
0.180310 0.497849 0.790889 
0.546881 0.392960 0.547615 
0.099954 0.591439 0.689369 
0.104705 0.523429 0.762720 
0.478880 0.364142 0.526389 
0.568410 0.473016 0.509332 
0.586283 0.528363 0.566403 
0.924024 0.214289 0.527536 
0.034935 0.652383 0.847453 
0.948855 0.416673 0.217811 
0.414069 0.762402 0.267410 
0.525665 0.639445 0.460772 
0.543205 0.283606 0.818360 
0.596918 0.918986 0.101314 
0.742803 0.476153 0.227268 
0.093908 0.896619 0.627751 
0.349387 0.739882 0.509122 
0.658230 0.917540 0.015456 
0.687883 0.573333 0.312574 
0.716583 0.207542 0.565393 
0.483466 0.691699 0.355000 
0.333596 0.208992 0.941541 
0.821548 0.027513 0.507414 
0.489687 0.205504 0.607836 
0.770086 0.512144 0.403321 
0.858743 0.606740 0.061821 
0.088389 0.290226 0.969312 
0.562449 0.652081 0.314940 
0.098814 0.912311 0.517848 
0.609191 0.736497 0.093990 
0.399186 0.370558 0.656258 
0.790752 0.500170 0.422038 
0.688900 0.836550 0.219524 
0.536364 0.895801 0.109807 
0.299403 0.456323 0.707696 
0.606429 0.440655 0.632547 
0.434577 0.481728 0.543956 
0.831221 0.522529 0.274762 
0.587606 0.666466 0.150991 
0.195799 0.939000 0.568680 
0.528342 0.619188 0.431089 
0.952330 0.420647 0.102830 
0.136129 0.569142 0.793569 
0.897317 0.066187 0.487085 
0.257174 0.784896 0.580559 
0.447900 0.545973 0.362188 
0.817413 0.388330 0.292205 
0.468906 0.590084 0.544371 
0.465411 0.656493 0.090236 
0.660446 0.281118 0.598547 
0.684665 0.266622 0.576533 
0.424117 0.590429 0.465557 
0.422867 0.348056 0.775279 
0.513925 0.539978 0.502487 
0.379049 0.351449 0.609172 
0.508875 0.853876 0.241254 
0.991225 0.551218 0.100994 
0.109950 0.825846 0.532623 
0.829824 0.321777 0.245953 
0.496456 0.378546 0.283751 
0.528895 0.251828 0.895180 
0.672723 0.608088 0.180317 
0.345917 0.784604 0.335859 
0.454988 0.209145 0.706349 
0.270720 0.292921 0.861688 
0.328334 0.351902 0.749451 
0.145792 0.758826 0.602655 
0.357941 0.620506 0.639047 
0.314652 0.818710 0.357429 
0.705012 0.121319 0.643941 
0.130580 0.716513 0.640137 
0.378968 0.511645 0.495006 
0.602786 0.423917 0.474949 
0.853150 0.470135 0.367112 
0.425788 0.812434 0.186703 
0.805963 0.121529 0.562680 
0.549895 0.177846 0.829839 
0.496745 0.221209 0.827109 
0.561285 0.005300 0.948912 
0.594293 0.713724 0.065530 
0.454244 0.223428 0.974587 
0.250516 0.747483 0.521029 
0.977139 0.371982 0.257135 
0.771246 0.772249 0.013688 
0.638068 0.733797 0.032289 
0.738653 0.478537 0.397776 
0.570889 0.340447 0.658728 
0.607016 0.391623 0.247295 
0.653379 0.551721 0.309391 
0.378290 0.436503 0.696826 
0.745044 0.208190 0.479202 
0.431509 0.435896 0.781012 
0.430888 0.427378 0.777170 
0.059869 0.386817 0.951605 
0.350806 0.357420 0.866935 
0.115679 0.793586 0.401041 
0.389751 0.598027 0.627577 
0.372299 0.646456 0.656846 
0.875892 0.269241 0.614889 
0.679790 0.251379 0.634874 
0.506290 0.361581 0.718814 
0.925228 0.488105 0.053230 
0.669948 0.198947 0.440606 
0.324687 0.634979 0.615116 
0.565055 0.601031 0.358802 
0.191098 0.561983 0.742405 
0.302702 0.257933 0.789532 
0.859678 0.377456 0.170417 
0.798132 0.705640 0.047890 
0.505103 0.030715 0.969062 
0.219780 0.201144 0.982859 
0.461477 0.141269 0.857599 
0.827846 0.702460 0.022455 
0.966120 0.627437 0.002223 
0.775027 0.180593 0.370355 
0.750789 0.504768 0.311705 
0.351612 0.166023 0.936128 
0.809376 0.368631 0.314638 
0.402299 0.643442 0.419312 
0.196519 0.619566 0.565585 
0.467653 0.161201 0.650799 
0.500385 0.559969 0.402006 
0.356342 0.425783 0.848889 
0.274103 0.947380 0.482215 
0.677291 0.283512 0.475667 
0.758822 0.489445 0.170453 
0.257197 0.970938 0.362428 
0.833825 0.412193 0.047475 
0.687775 0.788563 0.052157 
0.620198 0.508220 0.359469 
0.274063 0.575810 0.584149 
0.558711 0.436412 0.647838 
0.280837 0.720951 0.638830 
0.548176 0.661371 0.483710 
0.774026 0.111467 0.622448 
0.634066 0.815019 0.135171 
0.441225 0.611867 0.156331 
0.779089 0.319952 0.693571 
0.399010 0.765281 0.310766 
0.543877 0.154065 0.810435 
0.110888 0.601871 0.561808 
0.794504 0.043342 0.671487 
0.124019 0.485719 0.929871 
0.090791 0.818029 0.480652 
0.578263 0.766714 0.095823 
0.392516 0.794306 0.378748 
0.716806 0.156450 0.489431 
0.311365 0.757403 0.559170 
0.856296 0.127100 0.282533 
0.288056 0.782847 0.323743 
0.419539 0.315436 0.623253 
0.780833 0.454422 0.211520 
0.612285 0.105196 0.802741 
0.758693 0.211411 0.310566 
0.328418 0.354268 0.969748 
0.527555 0.492461 0.418621 
0.414756 0.433879 0.512929 
0.523068 0.689775 0.137045 
0.822432 0.586388 0.137591 
0.643869 0.544253 0.226630 
0.417530 0.431748 0.707068 
0.408529 0.146778 0.951105 
0.388919 0.581903 0.635612 
0.727929 0.749054 0.098819 
0.280499 0.855081 0.435331 
0.735642 0.211661 0.513159 
0.222149 0.772320 0.444881 
0.292050 0.991752 0.236218 
0.383907 0.248260 0.725240 
0.082546 0.367630 0.845909 
0.545547 0.061934 0.756843 
0.789881 0.158463 0.554361 
0.368666 0.576410 0.584995 
0.495580 0.573535 0.223134 
0.396601 0.488281 0.598097 
0.806030 0.166553 0.453734 
0.564117 0.853817 0.236225 
0.420028 0.781007 0.240761 
0.630503 0.178625 0.711710 
0.190388 0.694481 0.665209 
0.195786 0.899326 0.419868 
0.979269 0.201277 0.529207 
