2000 3
0.692029 0.430839 0.514774 
0.710915 0.658629 0.628767 
0.393560 0.509928 0.539707 
0.508616 0.561235 0.464724 
0.509298 0.600095 0.557526 
0.539958 0.671387 0.725336 
0.261983 0.235988 0.109733 
0.288331 0.432482 0.338426 
0.481688 0.471809 0.636547 
0.695098 0.430715 0.233970 
0.632921 0.604067 0.383541 
0.778468 0.683633 0.544927 
0.689741 0.326072 0.604374 
0.663110 0.516861 0.670424 
0.177378 0.252300 0.196884 
0.703297 0.699205 0.695537 
0.682668 0.476725 0.425982 
0.832267 0.854724 0.826320 
0.499855 0.398203 0.247458 
0.574738 0.384334 0.650950 
0.395939 0.561909 0.765292 
0.344606 0.416968 0.309209 
0.516667 0.709149 0.490774 
0.550723 0.550549 0.452567 
0.402407 0.476556 0.566123 
0.673112 0.548031 0.641279 
0.607601 0.597904 0.351730 
0.340159 0.508215 0.189386 
0.570506 0.625088 0.749557 
0.680466 0.528803 0.651255 
0.444946 0.193138 0.510828 
0.811247 0.900414 0.779984 
0.430495 0.269504 0.287758 
0.293991 0.659388 0.498039 
0.755529 0.704136 0.683349 
0.423667 0.529742 0.605572 
0.544570 0.380186 0.566976 
0.499181 0.675455 0.418571 
0.726072 0.723932 0.771520 
0.803802 0.754849 0.700561 
0.707543 0.735716 0.754776 
0.877158 0.853354 0.830045 
0.577817 0.271003 0.370209 
0.627925 0.555763 0.534159 
0.106572 0.110942 0.126620 
0.413300 0.216190 0.195852 
0.456201 0.484651 0.340972 
0.638670 0.481391 0.380127 
0.502044 0.427711 0.570490 
0.454945 0.489261 0.277949 
0.700096 0.604276 0.576413 
0.275460 0.091282 0.241466 
0.335303 0.763605 0.518234 
0.529167 0.446008 0.703421 
0.509185 0.408623 0.231383 
0.710911 0.530956 0.277492 
0.782273 0.791518 0.863689 
0.470747 0.282468 0.461298 
0.640124 0.361311 0.529590 
0.817291 0.805995 0.812241 
0.387036 0.103333 0.437885 
0.686801 0.703783 0.544849 
0.617397 0.490402 0.473567 
0.266806 0.341899 0.144818 
0.549321 0.494348 0.474821 
0.577475 0.768761 0.620281 
0.642307 0.607274 0.577644 
0.438323 0.557662 0.443856 
0.924420 0.863775 0.844304 
0.688875 0.623392 0.561223 
0.534598 0.822272 0.670296 
0.885861 0.521015 0.552674 
0.396729 0.365417 0.388592 
0.201382 0.112043 0.203013 
0.665656 0.368270 0.457222 
0.288070 0.432749 0.739888 
0.666145 0.841686 0.669450 
0.480118 0.290558 0.396565 
0.774887 0.798186 0.773505 
0.663920 0.664144 0.534826 
0.591813 0.743770 0.550692 
0.339721 0.179417 0.228620 
0.614089 0.716266 0.614076 
0.558049 0.436785 0.367555 
0.264337 0.666007 0.606053 
0.368904 0.598286 0.283568 
0.545784 0.509808 0.538681 
0.433133 0.267654 0.494359 
0.852325 0.855135 0.796985 
0.459745 0.536901 0.486786 
0.366493 0.675822 0.522503 
0.842319 0.833450 0.800192 
0.413936 0.279942 0.624127 
0.405580 0.354521 0.310730 
0.281396 0.162032 0.326276 
0.273966 0.305453 0.216931 
0.647926 0.844617 0.340600 
0.226403 0.371796 0.445936 
0.281394 0.275390 0.265184 
0.385747 0.337408 0.400719 
0.335251 0.572032 0.351480 
0.366129 0.406549 0.516628 
0.186489 0.341735 0.759182 
0.228685 0.432526 0.378387 
0.481600 0.748594 0.430537 
0.579351 0.665798 0.490330 
0.142661 0.156782 0.137429 
0.452611 0.469845 0.554825 
0.699312 0.697730 0.753417 
0.651633 0.479856 0.487300 
0.718479 0.734878 0.742215 
0.487061 0.690823 0.588430 
0.290418 0.291031 0.317777 
0.595379 0.654640 0.633983 
0.708621 0.744174 0.812715 
0.748526 0.709075 0.806697 
0.474649 0.550850 0.614886 
0.472415 0.420970 0.568500 
0.365446 0.514780 0.395100 
0.300663 0.160651 0.108507 
0.633425 0.574832 0.443065 
0.669340 0.565760 0.500070 
0.536753 0.515924 0.630816 
0.430966 0.447419 0.304687 
0.522524 0.239407 0.589362 
0.603259 0.484925 0.565493 
0.490698 0.687982 0.398977 
0.273323 0.375033 0.575419 
0.262516 0.316522 0.191673 
0.383345 0.164552 0.224560 
0.195193 0.359988 0.397127 
0.667464 0.411685 0.515050 
0.672854 0.567919 0.693494 
0.275620 0.261837 0.371261 
0.246244 0.360144 0.163127 
0.632185 0.406337 0.519952 
0.249953 0.395341 0.356959 
0.242315 0.456767 0.379923 
0.913499 0.940294 0.885226 
0.566887 0.478416 0.308188 
0.770209 0.659385 0.587874 
0.340668 0.429026 0.621423 
0.526697 0.687412 0.773084 
0.475661 0.434243 0.462912 
0.472479 0.657981 0.253773 
0.371175 0.363919 0.418699 
0.567519 0.428880 0.550625 
0.795343 0.817073 0.765909 
0.253424 0.427410 0.324777 
0.698078 0.809656 0.728376 
0.279996 0.515681 0.323569 
0.497389 0.433464 0.661028 
0.326528 0.441990 0.562686 
0.407371 0.256035 0.349745 
0.347437 0.548307 0.346348 
0.479107 0.190748 0.297529 
0.550694 0.633140 0.477226 
0.495725 0.801750 0.242919 
0.301141 0.289331 0.399509 
0.542543 0.650438 0.630594 
0.499044 0.634646 0.427385 
0.769413 0.810961 0.716747 
0.529984 0.702161 0.519107 
0.730364 0.528756 0.429499 
0.570170 0.518077 0.280770 
0.699757 0.475793 0.779330 
0.396989 0.514704 0.604761 
0.371269 0.611287 0.661369 
0.375534 0.389302 0.390920 
0.735746 0.611610 0.737184 
0.475551 0.656594 0.483688 
0.317534 0.339371 0.258901 
0.567157 0.698440 0.544253 
0.495408 0.779723 0.791969 
0.593618 0.369165 0.599640 
0.487598 0.266721 0.712467 
0.592719 0.685040 0.675640 
0.543013 0.614649 0.372130 
0.673435 0.796048 0.762589 
0.690953 0.380223 0.534402 
0.732117 0.587560 0.383146 
0.461045 0.495984 0.385736 
0.351621 0.508485 0.505172 
0.723411 0.871108 0.841699 
0.716505 0.735089 0.771862 
0.363026 0.462893 0.645593 
0.119515 0.128379 0.103315 
0.621017 0.542931 0.553303 
0.538932 0.223542 0.355263 
0.598934 0.469013 0.705353 
0.192793 0.198648 0.175615 
0.562963 0.572993 0.551279 
0.202875 0.287367 0.222437 
0.777763 0.561767 0.685928 
0.249735 0.209290 0.246896 
0.607106 0.403521 0.454407 
0.713918 0.486447 0.678862 
0.698615 0.478752 0.645845 
0.589097 0.647152 0.614683 
0.852417 0.699326 0.742507 
0.603695 0.239140 0.431117 
0.423255 0.480863 0.630070 
0.084873 0.281016 0.227283 
0.816884 0.829799 0.835086 
0.361304 0.340415 0.285159 
0.562435 0.747387 0.535063 
0.234203 0.295815 0.229624 
0.756663 0.494027 0.658690 
0.230455 0.169359 0.137216 
0.430053 0.313076 0.165262 
0.726583 0.310181 0.499896 
0.350645 0.697771 0.481242 
0.205536 0.515879 0.438925 
0.274325 0.214560 0.180944 
0.666741 0.624446 0.662412 
0.601249 0.689334 0.767404 
0.699705 0.555466 0.557021 
0.371027 0.416844 0.548526 
0.296179 0.291640 0.244522 
0.518746 0.586616 0.769507 
0.623764 0.727549 0.739585 
0.247369 0.336136 0.188259 
0.553879 0.666609 0.661913 
0.393421 0.431374 0.390192 
0.673473 0.689592 0.611206 
0.563853 0.288093 0.485651 
0.305365 0.444089 0.360814 
0.280837 0.406919 0.440555 
0.060699 0.103225 0.054799 
0.361251 0.433750 0.462874 
0.660380 0.357770 0.459548 
0.740324 0.602364 0.689959 
0.494867 0.638843 0.682660 
0.175668 0.256642 0.238918 
0.659336 0.597179 0.651306 
0.618119 0.599168 0.443448 
0.552036 0.590176 0.838075 
0.442823 0.487045 0.447201 
0.361332 0.295691 0.545816 
0.397765 0.419990 0.806162 
0.360436 0.353703 0.338100 
0.817221 0.255356 0.408777 
0.239095 0.471280 0.478726 
0.447542 0.475021 0.420060 
0.510458 0.712342 0.564684 
0.374952 0.360225 0.177962 
0.564566 0.524923 0.656781 
0.567899 0.512148 0.223324 
0.145494 0.115963 0.148391 
0.337901 0.355282 0.334501 
0.355301 0.652894 0.546095 
0.788048 0.629727 0.546697 
0.562519 0.392924 0.340514 
0.855581 0.785222 0.771625 
0.159268 0.156990 0.141487 
0.614828 0.467626 0.538423 
0.547555 0.723415 0.716848 
0.537972 0.301318 0.448652 
0.769633 0.540052 0.270858 
0.422827 0.317150 0.377059 
0.656273 0.460314 0.642677 
0.595236 0.668529 0.694419 
0.227182 0.094666 0.185766 
0.317760 0.322842 0.297790 
0.305820 0.484244 0.607307 
0.390520 0.536884 0.459937 
0.795411 0.624849 0.725798 
0.688868 0.744609 0.738849 
0.260208 0.421354 0.235211 
0.793895 0.860886 0.784043 
0.573580 0.317870 0.474478 
0.107352 0.270759 0.136911 
0.494203 0.379678 0.724271 
0.509257 0.529073 0.562922 
0.667316 0.207187 0.539508 
0.345301 0.375653 0.321496 
0.447326 0.597499 0.190393 
0.441483 0.253402 0.478388 
0.597969 0.691586 0.695765 
0.880066 0.850902 0.878312 
0.807455 0.677924 0.791414 
0.623973 0.762522 0.557486 
0.640246 0.588480 0.593521 
0.441164 0.367617 0.321290 
0.536135 0.444504 0.442993 
0.599542 0.709642 0.810213 
0.364532 0.496530 0.406993 
0.590073 0.739626 0.493297 
0.578453 0.655512 0.614409 
0.463299 0.601639 0.657989 
0.669762 0.677921 0.586880 
0.557107 0.596359 0.587310 
0.704737 0.643378 0.721106 
0.595502 0.370912 0.551636 
0.376876 0.297084 0.539026 
0.711265 0.711259 0.749960 
0.724897 0.792768 0.841707 
0.375966 0.472558 0.441880 
0.659263 0.770176 0.711867 
0.393274 0.257704 0.441409 
0.277000 0.354536 0.543974 
0.600798 0.658363 0.645759 
0.509536 0.626748 0.520242 
0.311312 0.270347 0.202588 
0.093912 0.086320 0.090519 
0.603726 0.584751 0.584337 
0.522942 0.766363 0.734664 
0.794788 0.753394 0.712731 
0.322064 0.413056 0.195542 
0.428667 0.781913 0.465528 
0.689216 0.810120 0.635903 
0.432239 0.325081 0.641220 
0.317256 0.359043 0.265266 
0.592813 0.585871 0.638425 
0.689496 0.703564 0.387810 
0.578296 0.731847 0.775229 
0.703812 0.708804 0.738249 
0.450834 0.383743 0.573704 
0.149488 0.367534 0.358541 
0.442792 0.294632 0.742555 
0.440047 0.225579 0.251514 
0.641019 0.488502 0.662612 
0.780284 0.814863 0.729139 
0.136589 0.140298 0.093495 
0.261795 0.166164 0.228121 
0.104520 0.245425 0.279241 
0.738356 0.525494 0.723496 
0.234747 0.384052 0.394660 
0.272264 0.318647 0.262583 
0.303600 0.312748 0.305481 
0.349257 0.322306 0.426798 
0.261628 0.216077 0.133242 
0.307191 0.256972 0.591449 
0.471647 0.428380 0.663696 
0.254947 0.175827 0.124727 
0.656345 0.519593 0.569866 
0.840067 0.696062 0.728972 
0.382310 0.160785 0.467490 
0.388227 0.256015 0.135577 
0.758934 0.756533 0.819693 
0.696357 0.632704 0.614851 
0.154742 0.324073 0.344469 
0.391837 0.601020 0.628386 
0.654361 0.395756 0.461775 
0.462716 0.449943 0.602499 
0.485213 0.576417 0.398223 
0.516997 0.539018 0.538428 
0.533081 0.736283 0.538908 
0.480468 0.383089 0.603104 
0.375100 0.653935 0.451497 
0.270291 0.482408 0.707801 
0.622863 0.390348 0.683824 
0.523375 0.507612 0.447739 
0.470877 0.375420 0.216147 
0.601549 0.413547 0.457301 
0.264170 0.540346 0.477719 
0.512574 0.520846 0.810452 
0.429960 0.459626 0.329846 
0.838163 0.549458 0.700858 
0.575081 0.400234 0.518937 
0.294461 0.297622 0.347359 
0.186484 0.172328 0.200869 
0.229861 0.669690 0.452751 
0.793964 0.738188 0.683763 
0.770642 0.646499 0.668035 
0.357788 0.542129 0.200852 
0.542983 0.393784 0.342780 
0.415479 0.275579 0.544209 
0.271463 0.149255 0.316512 
0.604499 0.591782 0.548727 
0.590698 0.556388 0.364233 
0.293255 0.568508 0.714158 
0.648224 0.787355 0.617335 
0.755943 0.824779 0.697381 
0.595446 0.358253 0.636256 
0.075737 0.109268 0.129172 
0.120063 0.249084 0.280409 
0.416444 0.367763 0.481715 
0.761139 0.815284 0.714022 
0.216841 0.372201 0.406064 
0.644404 0.738034 0.728813 
0.260050 0.354775 0.215662 
0.972737 0.930188 0.913021 
0.422797 0.552811 0.416327 
0.549916 0.590869 0.781253 
0.216935 0.289840 0.334295 
0.471541 0.452069 0.510715 
0.699624 0.743465 0.578372 
0.625959 0.646067 0.560395 
0.607087 0.593772 0.691299 
0.424272 0.395083 0.304276 
0.569291 0.504812 0.544868 
0.438729 0.471381 0.403495 
0.345047 0.216965 0.285090 
0.331325 0.383864 0.409814 
0.591795 0.701840 0.607833 
0.703140 0.698435 0.709733 
0.504704 0.528189 0.637871 
0.318857 0.335173 0.212424 
0.403792 0.470978 0.855081 
0.216517 0.280997 0.213366 
0.344266 0.471808 0.188563 
0.451175 0.307242 0.327580 
0.200466 0.280891 0.311986 
0.782548 0.814789 0.748285 
0.479846 0.484932 0.447647 
0.769054 0.628933 0.696663 
0.401003 0.312405 0.364786 
0.344050 0.489903 0.238694 
0.805000 0.772552 0.676874 
0.648870 0.563746 0.820706 
0.226454 0.204411 0.255453 
0.234093 0.478726 0.187222 
0.695859 0.628863 0.626613 
0.558852 0.542005 0.550367 
0.319168 0.308535 0.209076 
0.273896 0.564000 0.482916 
0.489365 0.345959 0.410765 
0.799633 0.799028 0.819045 
0.529208 0.624645 0.756717 
0.342460 0.519898 0.286669 
0.806179 0.711573 0.768023 
0.354825 0.358931 0.289194 
0.433914 0.677594 0.526926 
0.679448 0.541344 0.398412 
0.659467 0.695960 0.421474 
0.447746 0.409012 0.577148 
0.506773 0.364943 0.393113 
0.635643 0.615447 0.453809 
0.522559 0.332001 0.578785 
0.524307 0.736541 0.493895 
0.376198 0.625709 0.565340 
0.784391 0.812523 0.852587 
0.449739 0.481639 0.403679 
0.135059 0.199652 0.137360 
0.592213 0.417627 0.416093 
0.784551 0.869287 0.718530 
0.296965 0.346588 0.389751 
0.520158 0.365888 0.464890 
0.331943 0.263269 0.653974 
0.511466 0.809743 0.669696 
0.668323 0.774896 0.733447 
0.337724 0.444128 0.494756 
0.251377 0.239504 0.419840 
0.439109 0.223135 0.323724 
0.360167 0.445287 0.427677 
0.235344 0.173550 0.166206 
0.373359 0.738178 0.647018 
0.632692 0.728708 0.848794 
0.493121 0.752030 0.772658 
0.538475 0.554155 0.542399 
0.386668 0.538729 0.464104 
0.775270 0.753816 0.642908 
0.446150 0.697337 0.385878 
0.648061 0.631265 0.673522 
0.753962 0.576796 0.685916 
0.499101 0.429949 0.414398 
0.261772 0.505497 0.406398 
0.802880 0.737429 0.751624 
0.329658 0.322188 0.455267 
0.420084 0.472321 0.322235 
0.768675 0.629709 0.840405 
0.234638 0.253083 0.246778 
0.319619 0.285531 0.146401 
0.360865 0.294899 0.269072 
0.373696 0.391621 0.691061 
0.531266 0.709411 0.201831 
0.506122 0.689698 0.479179 
0.497984 0.162665 0.491004 
0.444179 0.468493 0.276359 
0.548285 0.631293 0.440343 
0.246041 0.266609 0.255884 
0.790030 0.889415 0.776487 
0.620307 0.206709 0.307880 
0.546487 0.726810 0.464261 
0.612696 0.417057 0.309526 
0.442030 0.324732 0.287134 
0.649612 0.534097 0.428382 
0.202805 0.192732 0.467612 
0.431930 0.253303 0.447490 
0.357198 0.407312 0.214895 
0.363329 0.552157 0.347403 
0.543640 0.362415 0.393239 
0.463546 0.701082 0.657352 
0.599707 0.648466 0.649248 
0.806861 0.764066 0.730812 
0.365568 0.524390 0.434435 
0.448358 0.507843 0.392568 
0.548472 0.364465 0.560026 
0.377987 0.652220 0.681047 
0.704656 0.712487 0.787590 
0.316793 0.379753 0.353735 
0.745160 0.742567 0.816622 
0.214191 0.210868 0.171332 
0.529342 0.600713 0.631164 
0.438626 0.231530 0.302133 
0.552635 0.752271 0.657111 
0.149346 0.352362 0.604032 
0.400135 0.407541 0.752733 
0.767393 0.824247 0.835396 
0.343630 0.468695 0.487122 
0.176740 0.228914 0.266893 
0.205560 0.244680 0.213777 
0.744436 0.704295 0.813577 
0.821566 0.816618 0.789027 
0.531096 0.520633 0.494220 
0.560016 0.601710 0.670102 
0.372167 0.636073 0.358876 
0.305846 0.522726 0.819975 
0.643048 0.554399 0.530727 
0.506357 0.302217 0.294576 
0.452155 0.512124 0.607494 
0.311273 0.226920 0.153495 
0.431279 0.690475 0.645278 
0.354314 0.265781 0.188224 
0.590797 0.492087 0.614817 
0.347552 0.648196 0.526660 
0.511713 0.461395 0.608285 
0.875502 0.722823 0.737632 
0.433293 0.612981 0.385747 
0.525041 0.632943 0.759772 
0.448391 0.310514 0.414779 
0.417743 0.206303 0.287602 
0.202931 0.244599 0.273872 
0.519193 0.577993 0.214016 
0.300176 0.672566 0.513006 
0.361931 0.418492 0.342277 
0.540619 0.473792 0.530892 
0.659478 0.501740 0.557696 
0.819501 0.777029 0.778070 
0.616264 0.646142 0.590018 
0.414276 0.456029 0.411651 
0.487968 0.259750 0.257759 
0.958805 0.964746 0.954470 
0.691050 0.653854 0.487102 
0.203361 0.617187 0.518576 
0.032509 0.213020 0.277793 
0.438357 0.516370 0.386885 
0.499950 0.456502 0.721078 
0.481511 0.486056 0.617316 
0.552384 0.620577 0.681523 
0.552393 0.608503 0.656640 
0.654088 0.599176 0.598965 
0.330726 0.436056 0.388565 
0.690028 0.854223 0.670473 
0.421193 0.299958 0.285057 
0.194418 0.683265 0.659054 
0.630395 0.616285 0.529785 
0.460903 0.372219 0.395738 
0.533767 0.458429 0.654169 
0.326676 0.196191 0.384257 
0.616945 0.748524 0.785985 
0.700111 0.475047 0.651717 
0.658631 0.638830 0.559176 
0.540080 0.554336 0.524006 
0.503953 0.584768 0.611894 
0.828731 0.497424 0.416609 
0.523109 0.353617 0.590942 
0.386074 0.487426 0.559298 
0.394043 0.338881 0.510888 
0.288626 0.413425 0.395809 
0.638570 0.783521 0.638782 
0.176235 0.308129 0.299845 
0.425299 0.361476 0.417158 
0.748397 0.538493 0.704895 
0.696628 0.745684 0.702585 
0.459301 0.367925 0.185416 
0.274273 0.634384 0.762912 
0.514073 0.415167 0.389160 
0.242849 0.229651 0.484388 
0.664694 0.580585 0.643411 
0.630138 0.660472 0.589852 
0.404348 0.372395 0.267751 
0.610280 0.628945 0.642133 
0.393596 0.485624 0.386409 
0.573651 0.305070 0.624647 
0.410387 0.295540 0.387881 
0.508123 0.694797 0.633458 
0.786494 0.637348 0.640067 
0.365770 0.281623 0.317599 
0.580527 0.420454 0.437858 
0.323203 0.528949 0.619354 
0.620737 0.706198 0.819593 
0.584237 0.641607 0.583462 
0.588013 0.585671 0.578043 
0.942337 0.854686 0.857794 
0.749063 0.721551 0.606524 
0.418195 0.361836 0.381605 
0.246350 0.233943 0.220678 
0.326300 0.189465 0.596500 
0.336195 0.622362 0.473640 
0.615483 0.557756 0.500841 
0.572732 0.645708 0.852797 
0.622180 0.722949 0.578661 
0.386431 0.328296 0.420685 
0.361758 0.576477 0.579102 
0.096480 0.091488 0.113774 
0.764050 0.369966 0.476653 
0.244003 0.510822 0.569989 
0.680222 0.477233 0.809065 
0.487568 0.226645 0.809662 
0.260726 0.527620 0.271783 
0.483005 0.533246 0.340154 
0.441234 0.756342 0.730713 
0.326042 0.560188 0.261467 
0.397635 0.496939 0.461079 
0.315607 0.262204 0.415095 
0.118932 0.081489 0.115577 
0.769021 0.472327 0.361303 
0.349709 0.456038 0.356292 
0.757052 0.865916 0.484409 
0.624715 0.441229 0.704489 
0.694283 0.731233 0.931891 
0.223079 0.213912 0.197901 
0.416925 0.418784 0.443112 
0.584421 0.277980 0.284767 
0.548995 0.627142 0.418230 
0.637889 0.660483 0.541929 
0.629049 0.499016 0.636281 
0.699067 0.659464 0.730015 
0.287125 0.294930 0.463866 
0.661425 0.730204 0.652035 
0.741578 0.478053 0.544911 
0.345459 0.475168 0.317064 
0.175857 0.082894 0.188765 
0.522946 0.547723 0.553452 
0.519953 0.472414 0.480805 
0.368632 0.298073 0.381466 
0.544399 0.584995 0.503206 
0.602813 0.464835 0.669681 
0.566725 0.653052 0.726402 
0.881830 0.751700 0.773551 
0.725019 0.447610 0.364192 
0.457207 0.357446 0.451934 
0.301729 0.357553 0.191060 
0.525184 0.552684 0.577903 
0.083820 0.059655 0.043891 
0.566048 0.658530 0.843732 
0.449154 0.493467 0.210658 
0.251183 0.427201 0.380842 
0.235801 0.495457 0.114403 
0.507607 0.546344 0.763022 
0.506571 0.347900 0.288600 
0.168473 0.137348 0.156452 
0.347800 0.215527 0.506989 
0.408325 0.552245 0.420525 
0.330808 0.345738 0.395111 
0.390379 0.303449 0.235969 
0.686192 0.675089 0.693731 
0.613050 0.595840 0.616667 
0.397569 0.477378 0.330802 
