4000 3
0.468032 0.268965 0.412623 
0.941048 0.029459 0.210347 
0.326116 0.512799 0.459053 
0.680335 0.455593 0.605073 
0.191490 0.483276 0.948494 
0.684875 0.380799 0.235583 
0.619501 0.907587 0.999039 
0.356853 0.730078 0.314982 
0.658587 0.407980 0.252894 
0.816227 0.778328 0.570760 
0.860942 0.246361 0.839725 
0.273565 0.187408 0.869184 
0.483912 0.513524 0.381983 
0.942966 0.193859 0.837576 
0.548039 0.385348 0.320852 
0.496533 0.070223 0.701650 
0.732116 0.689725 0.609237 
0.731155 0.046578 0.339316 
0.046137 0.705165 0.747296 
0.299031 0.521392 0.525624 
0.869791 0.382334 0.771985 
0.709515 0.655899 0.959393 
0.578699 0.139811 0.472917 
0.960682 0.082776 0.666775 
0.798257 0.630815 0.052124 
0.119109 0.127348 0.122347 
0.820759 0.859464 0.812072 
0.429997 0.590619 0.858650 
0.769313 0.636756 0.563815 
0.516608 0.935786 0.085207 
0.042232 0.805577 0.467541 
0.814217 0.515092 0.123439 
0.773610 0.093791 0.263250 
0.246527 0.054473 0.346026 
0.913302 0.852731 0.976842 
0.965426 0.971840 0.104189 
0.087773 0.792599 0.963654 
0.899845 0.222596 0.554273 
0.758495 0.991909 0.191028 
0.322310 0.508517 0.126814 
0.407517 0.550750 0.932391 
0.875058 0.364967 0.447484 
0.998497 0.138577 0.541275 
0.261748 0.385103 0.595748 
0.607774 0.298405 0.448479 
0.584616 0.263831 0.420318 
0.688805 0.351604 0.212918 
0.652459 0.251449 0.435514 
0.206731 0.009944 0.427423 
0.397759 0.332254 0.935940 
0.524574 0.739772 0.486690 
0.456965 0.614830 0.851657 
0.904449 0.613327 0.990233 
0.445723 0.875075 0.375337 
0.041471 0.482849 0.673742 
0.489950 0.067464 0.937573 
0.910269 0.756269 0.289177 
0.123186 0.408728 0.540626 
0.558700 0.615459 0.550569 
0.986122 0.013219 0.882824 
0.922062 0.537793 0.622595 
0.408752 0.994758 0.237425 
0.260409 0.899206 0.850752 
0.250642 0.344930 0.725826 
0.625979 0.386401 0.208675 
0.299721 0.876351 0.276139 
0.237294 0.786620 0.032408 
0.526470 0.909806 0.441136 
0.067096 0.468506 0.056596 
0.617665 0.454628 0.069815 
0.500489 0.376691 0.607607 
0.123084 0.785443 0.602365 
0.360509 0.045851 0.501571 
0.211260 0.296493 0.846501 
0.937086 0.922472 0.232902 
0.145761 0.222192 0.109253 
0.421900 0.459486 0.895873 
0.454308 0.985956 0.805679 
0.895445 0.053053 0.274184 
0.952041 0.670718 0.728813 
0.021855 0.171207 0.105503 
0.629463 0.294291 0.890946 
0.231828 0.654800 0.936797 
0.733399 0.866060 0.233290 
0.579900 0.803146 0.155762 
0.812802 0.948907 0.377954 
0.922055 0.370807 0.837440 
0.817928 0.825116 0.823397 
0.623606 0.720561 0.876449 
0.897791 0.672601 0.547167 
0.626604 0.694457 0.718374 
0.732107 0.323919 0.012665 
0.623053 0.555747 0.667465 
0.559850 0.289146 0.533524 
0.793140 0.869046 0.336670 
0.948902 0.681847 0.285578 
0.326857 0.603902 0.656385 
0.164297 0.421830 0.481500 
0.987694 0.045436 0.202061 
0.864143 0.943227 0.874662 
0.411311 0.569831 0.569119 
0.129685 0.301938 0.893038 
0.142350 0.924991 0.448785 
0.809815 0.484841 0.737931 
0.343339 0.277981 0.606977 
0.680009 0.226883 0.288824 
0.965587 0.553740 0.892726 
0.621972 0.718037 0.314556 
0.103472 0.705731 0.359992 
0.305533 0.569875 0.303219 
0.180195 0.981185 0.873050 
0.749314 0.110870 0.174988 
0.642352 0.253220 0.099979 
0.091137 0.063035 0.584819 
0.829068 0.406374 0.862800 
0.436045 0.086383 0.089683 
0.724869 0.051970 0.643423 
0.617595 0.673942 0.361461 
0.932150 0.777414 0.067192 
0.292142 0.082947 0.637067 
0.595362 0.263142 0.618252 
0.468412 0.012456 0.729122 
0.643400 0.654808 0.982343 
0.743379 0.745945 0.045377 
0.328198 0.575013 0.451751 
0.190998 0.011058 0.538134 
0.280681 0.735926 0.590104 
0.924105 0.353521 0.264046 
0.285565 0.285671 0.041460 
0.352758 0.577814 0.124407 
0.989824 0.173175 0.387548 
0.608077 0.641587 0.400004 
0.337199 0.284987 0.054812 
0.319542 0.028366 0.800757 
0.364919 0.356564 0.375769 
0.816670 0.547562 0.386827 
0.354804 0.828243 0.122753 
0.944908 0.752348 0.476274 
0.208954 0.037913 0.761946 
0.250414 0.390671 0.339759 
0.374820 0.380495 0.512934 
0.762369 0.988572 0.154522 
0.162373 0.325771 0.439509 
0.217185 0.645313 0.467875 
0.017941 0.010232 0.824439 
0.393711 0.826902 0.372001 
0.780538 0.181706 0.200244 
0.903291 0.126614 0.952592 
0.379566 0.335568 0.990505 
0.141511 0.585981 0.381175 
0.481270 0.960802 0.761670 
0.994205 0.723171 0.750242 
0.148726 0.885543 0.076013 
0.588235 0.102728 0.721326 
0.056110 0.120669 0.731558 
0.880549 0.514380 0.558460 
0.252550 0.294917 0.740166 
0.452794 0.198209 0.866780 
0.405385 0.577774 0.202347 
0.395890 0.719285 0.788329 
0.777065 0.200556 0.749130 
0.538735 0.194760 0.472301 
0.288978 0.343486 0.357845 
0.364991 0.931721 0.460573 
0.086317 0.987832 0.581242 
0.817875 0.868381 0.095622 
0.376336 0.120931 0.390539 
0.116501 0.573725 0.588748 
0.983281 0.979110 0.166522 
0.185628 0.375000 0.885807 
0.973957 0.152065 0.086363 
0.723087 0.690800 0.281123 
0.195388 0.979778 0.624609 
0.553233 0.344769 0.556330 
0.013806 0.431086 0.544162 
0.595048 0.248962 0.412543 
0.690669 0.625297 0.533473 
0.081208 0.741799 0.107198 
0.669956 0.725080 0.086308 
0.836478 0.910708 0.461308 
0.722285 0.884665 0.613373 
0.808648 0.607752 0.304173 
