2000 3
0.526130 0.296831 0.615282 
0.280211 0.635261 0.329934 
0.565858 0.224982 0.781557 
0.607520 0.593263 0.116690 
0.621368 0.274684 0.658994 
0.439762 0.703791 0.365333 
0.190300 0.952884 0.377523 
0.623508 0.328372 0.565226 
0.573486 0.283731 0.740492 
0.401886 0.625637 0.348330 
0.096694 0.750323 0.720697 
0.404377 0.225438 0.854720 
0.982208 0.439372 0.121900 
0.254021 0.424771 0.779794 
0.016747 0.855078 0.475140 
0.290681 0.588669 0.529757 
0.417795 0.293063 0.629305 
0.669847 0.092277 0.678219 
0.781535 0.520706 0.305878 
0.806172 0.655364 0.092004 
0.460317 0.239940 0.617924 
0.305555 0.353570 0.788252 
0.343360 0.273781 0.743533 
0.092225 0.529618 0.620467 
0.281142 0.546244 0.636298 
0.319368 0.960885 0.300193 
0.438637 0.134413 0.814897 
0.286743 0.589217 0.633702 
0.834278 0.478835 0.317782 
0.953193 0.521661 0.390407 
0.529639 0.863000 0.093495 
0.989082 0.263176 0.216150 
0.399326 0.374862 0.846169 
0.912023 0.278890 0.129455 
0.698720 0.261546 0.520605 
0.244898 0.795243 0.413109 
0.761183 0.510421 0.212100 
0.302332 0.444577 0.838743 
0.038345 0.878867 0.519394 
0.984206 0.294075 0.167905 
0.812761 0.214163 0.557442 
0.181196 0.391864 0.766237 
0.923891 0.482678 0.054807 
0.735358 0.312805 0.334979 
0.790151 0.369929 0.182029 
0.755803 0.101921 0.787161 
0.652546 0.568097 0.250603 
0.693498 0.457281 0.229276 
0.473910 0.269925 0.796179 
0.642356 0.731099 0.342976 
0.619366 0.099142 0.841899 
0.629302 0.600979 0.390232 
0.444154 0.437909 0.493084 
0.590015 0.067224 0.714901 
0.593462 0.728217 0.032084 
0.221809 0.738137 0.499437 
0.056725 0.780288 0.505078 
0.981418 0.381214 0.155422 
0.470858 0.599345 0.561880 
0.818179 0.304147 0.361048 
0.459059 0.784917 0.407979 
0.680736 0.057968 0.948004 
0.864472 0.137690 0.385036 
0.086338 0.971371 0.426757 
0.250761 0.782952 0.239398 
0.803704 0.119076 0.785539 
0.167605 0.422231 0.953051 
0.969099 0.527509 0.071728 
0.266485 0.548998 0.868692 
