500 3
0.243433 0.378296 0.159850 
0.375982 0.699426 0.299223 
0.426477 0.382344 0.275179 
0.805170 0.810807 0.813038 
0.633911 0.638852 0.702223 
0.387917 0.202343 0.393187 
0.863210 0.787810 0.707001 
0.429884 0.362228 0.358461 
0.829524 0.757347 0.726581 
0.688026 0.471776 0.487802 
0.353453 0.383761 0.331988 
0.208736 0.313522 0.169440 
0.387061 0.507164 0.120732 
0.437566 0.391630 0.323386 
0.545499 0.760470 0.655296 
0.834652 0.908784 0.752330 
0.698460 0.529897 0.324597 
0.483457 0.260259 0.267944 
0.698266 0.693693 0.797386 
0.823813 0.634966 0.661528 
0.796183 0.768116 0.772738 
0.345180 0.341706 0.433829 
0.192025 0.269753 0.479202 
0.345293 0.296747 0.303251 
0.177408 0.310676 0.182856 
0.231680 0.177020 0.286241 
0.388025 0.715140 0.333772 
0.193733 0.612680 0.644836 
0.344537 0.416479 0.408968 
0.809416 0.695913 0.769442 
0.646561 0.605138 0.614172 
0.435017 0.455937 0.685703 
0.282245 0.381802 0.351157 
0.333438 0.708341 0.701482 
0.594978 0.781006 0.522412 
0.431547 0.489557 0.631699 
0.531504 0.702492 0.320619 
0.768725 0.414310 0.528636 
0.111364 0.204256 0.226943 
0.530810 0.723614 0.590758 
0.273576 0.405239 0.428224 
0.721787 0.528274 0.522273 
0.724314 0.705644 0.682844 
0.557463 0.687341 0.811230 
0.581109 0.536078 0.420772 
0.621510 0.465669 0.233566 
0.608396 0.563396 0.644980 
0.454698 0.555846 0.427222 
0.107133 0.102282 0.072933 
0.456691 0.168633 0.771532 
0.717195 0.692843 0.526443 
0.798716 0.890995 0.612738 
0.447737 0.636511 0.541221 
0.883721 0.846333 0.678016 
0.299133 0.366026 0.446646 
0.343514 0.643693 0.558174 
0.304855 0.649759 0.446575 
0.411977 0.583165 0.544758 
0.349875 0.299544 0.447455 
0.207607 0.299083 0.181980 
0.599046 0.696366 0.454975 
0.536616 0.619754 0.589321 
0.387186 0.473829 0.399556 
0.890692 0.838321 0.741089 
0.221338 0.147633 0.147419 
0.330761 0.358625 0.358740 
0.170679 0.143721 0.182054 
0.538289 0.862272 0.513888 
0.728825 0.527365 0.525252 
0.662217 0.537700 0.401241 
0.481104 0.584204 0.711496 
0.837808 0.835608 0.867388 
0.656136 0.376566 0.443294 
0.570581 0.415593 0.425500 
0.614158 0.428377 0.536062 
0.325282 0.534659 0.365859 
0.334521 0.268901 0.265670 
0.614897 0.503855 0.535420 
0.561962 0.439093 0.575669 
0.276696 0.379556 0.466028 
0.315440 0.515227 0.338668 
0.351515 0.482499 0.677609 
0.877179 0.856358 0.781180 
0.716178 0.451412 0.486012 
0.288720 0.284718 0.614673 
0.730629 0.644436 0.608492 
0.224068 0.649192 0.746638 
0.588072 0.478951 0.763363 
0.806524 0.865827 0.929245 
0.481793 0.173968 0.440492 
0.528928 0.485353 0.720156 
0.727831 0.870904 0.567849 
0.617974 0.316104 0.382268 
0.776838 0.791312 0.834952 
0.807856 0.763572 0.865190 
0.713713 0.885830 0.695559 
0.517458 0.484651 0.505576 
0.444931 0.355235 0.493050 
0.481556 0.346674 0.491520 
0.246950 0.187710 0.245827 
0.262678 0.280701 0.426063 
0.661096 0.644290 0.706644 
0.438792 0.638647 0.316744 
0.783975 0.640285 0.802515 
0.693965 0.659864 0.628855 
0.738420 0.678539 0.657988 
0.591800 0.585895 0.495468 
0.676712 0.659781 0.699961 
0.652891 0.629074 0.697659 
0.079946 0.071342 0.078215 
0.252240 0.321108 0.317049 
0.608215 0.720399 0.685788 
0.307180 0.346750 0.239417 
0.348840 0.576689 0.637306 
0.639476 0.635737 0.501154 
0.615650 0.312336 0.560450 
0.688749 0.583724 0.627367 
0.362340 0.261356 0.402965 
0.360392 0.315265 0.309918 
0.593935 0.602801 0.524338 
0.372009 0.536686 0.795515 
0.581733 0.696984 0.578892 
0.483663 0.186606 0.428787 
0.341422 0.539209 0.344561 
0.209894 0.405910 0.469370 
0.439687 0.561002 0.428387 
0.572571 0.648275 0.917005 
0.594281 0.409916 0.482464 
0.769356 0.653191 0.742892 
0.471035 0.784959 0.515519 
0.780836 0.486641 0.543927 
0.770784 0.695392 0.535252 
0.586779 0.713130 0.504350 
0.194354 0.211776 0.345167 
0.483786 0.348179 0.310273 
0.456773 0.407098 0.388693 
0.495306 0.214546 0.522581 
0.898533 0.843942 0.893685 
0.830598 0.614310 0.732924 
0.579528 0.571715 0.707931 
0.712995 0.782447 0.804788 
0.868091 0.838089 0.727822 
0.435488 0.277816 0.300366 
0.878860 0.879615 0.884446 
0.606577 0.511414 0.509641 
0.683785 0.572809 0.463023 
0.249266 0.540043 0.279169 
0.589233 0.298233 0.424661 
0.618311 0.222672 0.451473 
0.895328 0.824338 0.859608 
0.785771 0.248359 0.711522 
0.681719 0.416029 0.400676 
0.620973 0.683406 0.723930 
0.438044 0.473810 0.594245 
0.274207 0.655292 0.502542 
0.222078 0.287937 0.171477 
0.375149 0.513900 0.678732 
0.418069 0.500030 0.092996 
0.588721 0.444363 0.437313 
0.458082 0.502974 0.454662 
0.383884 0.483653 0.275970 
0.766137 0.706456 0.828436 
0.526741 0.440237 0.558754 
0.396642 0.621093 0.402542 
0.676670 0.550948 0.411635 
0.209653 0.210012 0.303031 
0.293094 0.473348 0.218012 
0.725243 0.517946 0.633419 
0.284303 0.336932 0.458207 
0.701715 0.490444 0.581349 
0.345243 0.663207 0.458002 
0.378169 0.638947 0.468088 
0.556509 0.451889 0.501283 
0.500649 0.567220 0.519995 
0.546243 0.625860 0.664122 
0.726039 0.668202 0.654283 
0.570068 0.609681 0.635863 
0.628930 0.559937 0.549832 
0.676579 0.521682 0.727806 
0.685486 0.406892 0.370910 
0.192319 0.334025 0.218286 
0.220780 0.478094 0.841223 
0.378640 0.337654 0.234412 
0.823067 0.450077 0.494615 
0.490174 0.377914 0.246763 
0.570858 0.751009 0.526541 
0.428413 0.552220 0.498195 
0.740784 0.753614 0.434115 
0.494913 0.760805 0.423879 
0.132897 0.136300 0.140928 
0.287642 0.752805 0.263926 
0.603226 0.654231 0.704530 
0.548927 0.576035 0.418366 
0.627524 0.671707 0.670123 
0.406406 0.268229 0.639748 
0.209722 0.280446 0.297667 
0.501041 0.589984 0.583325 
0.445003 0.315899 0.496808 
0.625998 0.724115 0.395575 
0.716036 0.754781 0.619812 
0.612473 0.542025 0.605482 
0.383258 0.416323 0.501280 
0.289012 0.357968 0.391138 
0.598772 0.667471 0.674142 
0.760221 0.833208 0.728200 
0.722214 0.693463 0.561228 
0.539447 0.482051 0.238003 
0.238196 0.315606 0.257072 
0.535209 0.483319 0.430099 
0.462709 0.647672 0.649851 
0.616878 0.554347 0.508529 
0.924389 0.965444 0.917302 
0.524426 0.453030 0.522025 
0.618257 0.619322 0.804969 
0.318764 0.201251 0.411629 
0.738082 0.538837 0.766458 
0.605971 0.816823 0.664709 
0.336699 0.490958 0.287045 
0.766445 0.661817 0.651287 
0.381409 0.440155 0.496049 
0.433721 0.425002 0.254322 
0.294179 0.174673 0.233837 
0.660636 0.466035 0.592453 
0.391100 0.381209 0.681330 
0.712844 0.340887 0.390615 
0.108383 0.178225 0.162537 
0.669011 0.365695 0.396757 
0.872951 0.591960 0.721102 
0.353602 0.330241 0.546564 
0.369325 0.299564 0.420613 
0.386278 0.299620 0.386033 
0.443358 0.414075 0.471696 
0.540414 0.546353 0.673960 
0.624195 0.546020 0.319156 
0.361013 0.471372 0.562871 
0.558563 0.593766 0.553293 
0.614201 0.804973 0.689934 
0.787737 0.629587 0.728309 
0.537834 0.465502 0.848376 
0.188516 0.128874 0.252502 
0.491813 0.478046 0.385385 
0.528802 0.532349 0.265033 
0.450443 0.683576 0.552071 
0.676199 0.799058 0.615531 
0.300088 0.306336 0.318534 
0.637768 0.734154 0.677383 
0.273646 0.329616 0.294577 
0.423044 0.353048 0.319627 
0.489601 0.572941 0.672980 
0.313293 0.270984 0.343726 
0.442840 0.245681 0.331887 
0.666004 0.547392 0.877485 
0.762916 0.556420 0.525091 
0.444157 0.333180 0.486934 
0.692140 0.374548 0.423633 
0.762626 0.691964 0.679370 
0.658473 0.411987 0.558860 
0.410416 0.256027 0.173109 
0.359804 0.488650 0.479066 
